Område,DIN,SS,TDP,TOC,TON,TOTN,TOTP,TPP
001,565.72297436047,1838.495439738977,9.460585821208362,8161.874030918084,416.0399085144131,981.7628828748831,18.983674954644435,9.523089133436073
002,9323.43984011403,62613.85723554916,128.05219990533135,107047.63273211461,6085.641329820164,15409.081169934194,283.9868111186853,155.9346112133539
003,541.6327210833672,2134.1142406185954,8.388191885078681,4219.938236188448,247.06530921506805,788.6980302984354,19.083948210433082,10.695756325354399
004,280.76252100259364,3396.7809426532403,3.6299997082294206,1684.330400159254,94.40776672618988,375.17028772878353,13.69549795660657,10.06549824837715
005,223.77018397473677,1158.6834633707194,4.675805761649285,1509.9630328283538,95.34748826634292,319.1176722410797,9.529700128091882,4.853894366442595
006,338.02318420260303,2725.8792509554673,13.12819028583321,2291.555854952942,150.67345789251254,488.6966420951155,26.483425791189635,13.35523550535643
007,49.496435889546056,905.6978957079963,1.9266078331483998,1584.653878249827,47.37539589579615,96.87183178534221,3.661627666139419,1.7350198329910196
008,106.26108868400159,1979.0092762981785,3.5764551544578502,1743.57622783566,63.68827613488806,169.94936481888968,7.304039463662596,3.7275843092047443
009,632.8445346400179,3537.3612484237365,20.20356245843518,2106.576166586842,276.1628316694398,909.0073663094578,44.33896129895914,24.13539884052396
010,60.70816254993958,747.49477405864,1.1673977990245366,840.5928420777581,32.65838861118013,93.36655116111972,2.946036987551535,1.7786391885269985
011,189.4800700610292,5149.729980517992,4.586356593850429,2359.438617014574,97.6106746594714,287.0907447205006,17.986697413652234,13.400340819801803
012,2567.90053453376,13149.321525358973,40.47366875901874,31008.131895065286,2128.388179746759,4696.288714280518,74.71717807370436,34.2435093146856
013,454.4914407707743,4629.603732108632,8.500574867771382,2373.455686615258,146.05937888128682,600.5508196520611,25.77285135523725,17.27227648746587
014,893.9249388273693,10881.644183579721,14.984429041757464,4817.543396213284,298.83994499532054,1192.7648838226899,40.244573198789254,25.260144157031792
015,1315.2974181247814,13141.491893397408,23.92038065599368,19769.159687133277,957.4681610492357,2272.765579174017,56.41914251916945,32.49876186317577
016,1935.204235471241,5465.264279037776,27.989778287714504,19529.521538765406,1355.6782353381307,3290.8824708093716,47.71429091644698,19.724512628732477
017,231.52483370156995,1231.7023338406382,4.196812284273635,5556.585075588462,303.7754356253446,535.3002693269145,7.434167890359508,3.2373556060858717
Hele Oslofjord,19710.48511799183,134686.13169521585,318.8609971027761,216604.52929830732,12796.880163041542,32507.365281033373,700.3026249433226,381.4416278405465
Indre Oslofjord,1350.3954273909053,10306.631134756099,43.51062149352393,9236.325160453625,633.2474498589795,1983.642877249885,91.31775434804268,47.80713285451875
Ytre Oslofjord,18360.089690600926,124379.50056045975,275.3503756092522,207368.2041378537,12163.632713182562,30523.72240378349,608.9848705952799,333.63449498602773
