real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,name
6,0.06488124112887861,0.5839311701599074,0.0,0.026191717968244682,0.054760425116499624,0.17329202368233895,0.025902692603060166,0.002455908126200085,0.023724129112485615,0.044860692102384955,Tista
7,0.06712517756916464,0.6041265981224817,0.0,0.00418768937312767,0.02771774600586441,0.17604180638566294,0.028704877824966418,0.019491213835055813,0.029342435813010815,0.04326245507066565,Glomma
8,0.060701326034324155,0.5463119343089174,0.0,0.0,0.01725025369743307,0.30048784193851236,0.014703483988366697,0.0005298517813719898,0.03974530672050212,0.02027000153057227,Mosseelva
9,0.05844267596278103,0.5259840836650292,3.0065590529218737e-05,0.0,0.00035375911888937245,0.33737426750626187,0.027238610969187088,0.00021778558627031551,0.03696607771582648,0.013392673885225281,Hølenelva
10,0.05323673919309508,0.4791306527378556,0.0,0.0,0.009869443866899762,0.29238853413567756,0.053537579433139505,0.0002817608305770795,0.08612588181725563,0.02542940798549965,Årungen 
11,0.002343050150587774,0.021087451355289964,0.0,0.0,0.014012937646755019,0.789947535642604,0.0020883514769513838,0.00040976780902579125,0.1464322023710891,0.023678703547697,Akerselva
12,0.02702105548541238,0.24318949936871148,0.0,0.0,0.043652923775450186,0.0002511117164594215,0.01905741859971244,0.0032593020085156907,0.4501137611587004,0.21345492788703802,Lysakerelva
13,0.04748465473871475,0.4273618926484327,0.0,1.7147847303977855e-06,0.011331245727667204,0.003250117238759443,0.028593028134208727,0.001943656222092988,0.3816372055487288,0.09839648495666486,Sandvikselva
14,0.006163510497133859,0.05547159447420474,0.0,0.006005849351396294,0.001560302892998734,0.8977437564278082,0.0053934425011094795,4.6542824065604216e-05,0.02129702569017508,0.006317975341108141,Åros
16,0.06660052193623078,0.5994046974260768,0.0,0.010787633181036854,0.020019776748536246,0.11940315882518504,0.0361434446998826,0.0002523869944462442,0.08001232464049594,0.06737605554810959,Sageneelva
17,0.0488905579275809,0.440015021348228,0.0,0.0005001101767679705,0.01360472250057273,0.3328019386177329,0.03431452906473083,0.0006732696708645218,0.06813207880252173,0.06106777189100051,Lierelva
18,0.05463504008089519,0.4917153607280567,0.0,0.0009102750543101847,0.05729379970076779,0.24007487203315211,0.03790119535605297,0.019267732045594312,0.03924860113064346,0.05895312387052709,Drammenselva
19,0.035646700392497156,0.32082030353247437,0.0,0.05308355891575908,0.00306217591939312,0.5149828967581616,0.013482918225341388,0.0002919039882475974,0.042473509924794435,0.016156032343331187,Sandeelva
20,0.08323838622859625,0.7491454760573661,0.0,0.0,0.0021793026923251193,0.06240672042920876,0.027707316832540865,0.0007868273215028898,0.05562678793318382,0.01890918250527617,Aulielva
21,0.05696576561136012,0.512691890502241,0.0,0.0001910961458493443,0.035976752038757234,0.22234397731891128,0.034007376293780464,0.010881719325292463,0.046357165919422,0.08058425684438614,Numedalslågen
22,0.02766737810152893,0.24900640291376025,0.0,0.283874087509292,0.06146062250621283,0.17100245042563164,0.02603163772533854,0.030163723824552364,0.04722471785930125,0.10356897913438219,Skienselva
23,0.023982662929588783,0.21584396636629907,0.0,0.0013256557546142507,0.12786110441822776,0.13922359442926407,0.0474609525515072,0.013006741754834133,0.0888871157730218,0.3424082060226428,Kammerfosselva
Total,0.05530422369959913,0.49773801329639217,4.845820842278112e-07,0.0316180543245288,0.03253751492523507,0.24590116645988325,0.027814661145714178,0.015232292213878186,0.04161802564756646,0.0522355637051185,Total
