Vassom,Q,TOTN_bsl,DIN_bsl,Area_km2,TOTN_realistic,pc_TOTN_reduction,TOTN_mitigated_Tpyr,TOTN_bsl_kgPerKm2,TOTN_realistic_kgPerKm2,DIN_realistic,pc_DIN_reduction,DIN_mitigated_Tpyr,DIN_bsl_kgPerKm2,DIN_realistic_kgPerKm2,Vassom_name
001.,1160,1123,680,2495,1054,6,68,450,42331,611,10,68,272,24540,Tista
002.,22291,13539,9001,42446,11623,14,1915,318,27431,7117,20,1884,212,16966,Glomma
003.,501,835,602,854,595,28,239,978,70418,376,37,226,705,44451,Mosseelva
004.,101,349,248,204,286,17,62,1713,142181,188,24,59,1216,92448,Hølenelva
005.,78,291,199,280,253,13,37,1039,90473,161,19,38,711,57605,Årungen 
006.,206,477,301,392,398,16,78,1219,102397,284,5,17,770,73170,Akerselva
007.,154,93,42,202,92,1,0,464,45976,41,2,0,208,20477,Lysakerelva
008.,169,134,88,279,130,3,4,482,46786,84,4,4,318,30571,Sandvikselva
009.,307,1658,1334,215,1189,28,468,7713,555394,857,35,476,6207,403482,Åros
010.,79,74,63,114,71,3,2,652,63298,61,4,2,561,53860,Tofteelva
011.,235,375,262,360,295,21,80,1043,82437,185,29,77,729,51826,Lierelva
012.,11052,5066,3509,17180,4324,14,741,294,25359,2789,20,720,204,16341,Drammenselva
013.,225,303,234,365,189,37,114,832,52450,127,45,107,643,35371,Sandeelva
014.,496,1756,1469,595,1418,19,338,2951,239090,1149,21,320,2470,195157,Aulielva
015.,4191,2143,1341,6275,1883,12,260,341,30064,1095,18,246,213,17532,Numedalslågen
016.,9346,2745,1585,11279,2555,6,189,243,22877,1407,11,178,140,12512,Skienselva
017.,1487,545,211,1580,545,0,0,345,34511,211,0,0,133,13395,Kammerfosselva
Enningdalsälv,470,387,233,810,276,28,111,478,34452,130,44,103,288,16171,Enningdalsälv
Strömsån,30,27,11,467,27,0,0,57,5791,11,0,0,24,2465,Strömsån
