,Q,TotN,DIN,SS,TOC,TDP
Baseline,54274.0,36022.0,24470.2,276201.6,242135.1,527.5
Scenario_A,54274.0,31506.3,20875.2,104128.0,234270.0,491.4
Scenario_B,54274.0,26724.2,16964.3,78165.1,233063.9,367.4
Pristine,54274.0,10430.5,3890.5,22648.5,215511.1,91.9
