,real_river,Q,TOTN,DIN,year
0,4,18.17474972884655,15.763338094090182,7.265982135621125,2016
1,4,27.65556001274586,27.66476675018606,11.040932169862895,2017
2,4,24.800290517860653,23.63229100434005,13.04401072014773,2018
3,4,38.90223913167715,39.70559688661399,20.657497063576546,2019
4,4,38.41655899894238,35.90394655765067,17.20152888645008,2020
5,4,21.49644965246916,18.600741712412933,7.772429375953173,2021
6,4,20.677645436131954,17.919884933347817,7.694982664337856,2022
7,5,327.22811992378234,264.830823783812,164.776604650216,2016
8,5,420.3619200576782,351.03809343273576,215.37428170149585,2017
9,5,386.77370401153564,326.1232394952282,195.09117704941744,2018
10,5,564.8680800144195,463.96502967058467,282.54125457267486,2019
11,5,574.7284800041199,478.1944068868321,290.5057883870353,2020
12,5,429.0224400123596,350.8073314176665,211.0793962808586,2021
13,5,325.4364001132965,267.95012540075305,162.41209738769643,2022
14,6,849.2220911247254,731.8524492426102,434.4751163323734,2016
15,6,973.689173286438,914.528876264944,564.2103290987187,2017
16,6,913.5198074295043,936.1651047612944,584.6666156658335,2018
17,6,1562.7653434753418,1602.4330010029773,996.6506654043302,2019
18,6,1652.3226789848327,1860.4074250731294,1159.337248633469,2020
19,6,1034.3904909475566,1152.9331947712476,729.4167587846866,2021
20,6,732.3525938966275,784.2978132324774,434.162264035039,2022
21,7,20891.809865039064,13332.2986325471,8251.384966750462,2016
22,7,23877.707673339843,13718.237673668378,9012.349069263695,2017
23,7,22413.87953876953,13901.059409946824,9616.826661278907,2018
24,7,24727.822533105467,17084.4417614446,11538.05041938729,2019
25,7,27497.981880175783,16118.98702373734,10958.516129872369,2020
26,7,23999.052702832032,15667.382191298222,11353.66288525803,2021
27,7,19782.251649316408,11296.145273201962,7751.910807303581,2022
28,8,438.6632572162628,485.90206659987683,308.1463590198872,2016
29,8,594.7869619480133,586.0909489272378,369.70870767382223,2017
30,8,398.9696779066086,467.0871384630465,295.69957616002984,2018
31,8,755.6082840311051,1155.3214722034172,700.9079385953269,2019
32,8,674.6596260074615,718.2837944793599,459.0366174424227,2020
33,8,466.6259002120972,467.88603961266864,294.6564711550918,2021
34,8,299.4011169862747,255.79972032457508,158.08458162325036,2022
35,9,91.96600261631012,297.54311972887535,216.58645745404232,2016
36,9,123.33649917411805,401.6055255591231,284.31013394422257,2017
37,9,83.97722568826676,295.6224663217384,191.89959268002187,2018
38,9,155.6615859518051,472.0055351659823,334.26550440477314,2019
39,9,139.4012745946884,328.715041010999,231.77177311973645,2020
40,9,97.57612880516052,310.2534643689421,175.2687830422844,2021
41,9,63.963946955394746,250.39823763220906,157.37750264266944,2022
42,10,40.56326123642921,114.9911988398945,74.49077519537447,2016
43,10,46.21558510780334,186.85353635160854,126.38367424341281,2017
44,10,43.23319569039345,143.73774303107237,86.26545708049129,2018
45,10,90.64630044722557,358.4878872311634,215.1425936243998,2019
46,10,118.094141726017,335.0959208097755,216.6823550745863,2020
47,10,99.37405436496735,276.57013007954725,175.24358413949074,2021
48,10,44.22063124408722,120.57256882874559,93.1493674741028,2022
49,11,152.63626112937928,59.522142638682936,32.05948362346118,2016
50,11,176.21184726905824,74.87453784324123,40.01676379935729,2017
51,11,151.84632485961913,67.6932184890286,36.245647199955684,2018
52,11,229.1738697681427,95.51332982849624,51.42434549486389,2019
53,11,324.70371063308716,114.64524128733348,60.646927640620774,2020
54,11,200.93435720329285,69.45783348216337,36.50673339120684,2021
55,11,124.2480276260376,49.24899838683302,25.31161753375905,2022
56,12,126.0341001411438,62.92700821248065,24.310652998329736,2016
57,12,143.59643445911408,73.84148764419773,28.841103194209122,2017
58,12,122.32053131217957,95.78290618606046,36.844138369144964,2018
59,12,199.23522295475007,99.5091497596751,37.298456429838104,2019
60,12,241.82013991127013,109.09115491390442,43.54962292046867,2020
61,12,154.3747113882065,72.94278967444338,26.940957445123768,2021
62,12,109.00767416610718,54.72965098890373,20.960976899990442,2022
63,13,147.35597070980072,131.39633731618065,74.98267255612323,2016
64,13,167.88942017440795,141.59559207682057,89.65225781222115,2017
65,13,143.01415781536102,131.37953477193255,80.22553304054638,2018
66,13,225.34633366355897,197.24106259108186,130.7699670595517,2019
67,13,256.5494276927948,169.22824685772224,127.07533705640552,2020
68,13,159.23157898693086,131.69864552085946,124.13530987459659,2021
69,13,127.44909306707382,132.73147279126263,92.29921994513377,2022
70,14,335.6065243618011,385.12455023953646,245.27897996891852,2016
71,14,452.6812440135956,763.3587284556803,511.88021145292305,2017
72,14,305.8182820163727,378.4933624354828,240.15957814245456,2018
73,14,573.2972400730133,1083.0507702523662,698.8920398021494,2019
74,14,512.6038006874085,730.1428983659462,469.4319619811304,2020
75,14,356.56045627326966,471.18041774916793,326.8622855298914,2021
76,14,231.14186331138612,407.03426168109695,336.53674858839236,2022
77,15,68.62675570600032,66.48465384825634,65.43367308884977,2016
78,15,91.96934644947052,85.1537498931377,83.29103589987992,2017
79,15,64.90283059537467,53.55309919514348,38.08971055957467,2018
80,15,120.97081093781031,97.51694901055195,83.24110591050079,2019
81,15,114.29241183867082,97.02556864535366,60.25810678226596,2020
82,15,74.5611834476307,74.14501535272501,52.03135716280564,2021
83,15,48.541116935951514,58.084178907361554,48.24008098819519,2022
84,17,207.25435483703615,214.41791038420055,132.55578541242573,2016
85,17,234.26087814102172,225.37822174708094,148.4269855870496,2017
