,real_river,Q,TOTN,DIN,year
0,4,18.17474972884655,15.763338070636276,7.26598209111561,2016
1,4,27.65556001274586,27.664766878851122,11.040932126194726,2017
2,4,24.800290517860653,23.632290974781775,13.044010744498332,2018
3,4,38.90223913167715,39.70559656151819,20.65749683933679,2019
4,4,38.41655899894238,35.903946699216995,17.201528978007875,2020
5,4,21.49644965246916,18.60074173763609,7.77242943002286,2021
6,4,20.677645436131954,17.91988490261976,7.69498261957535,2022
7,5,327.22811992378234,187.58349238403102,92.55034789037086,2016
8,5,420.3619200576782,251.805065591234,122.59140159556826,2017
9,5,386.77370401153564,234.8192383270884,109.72193486725844,2018
10,5,564.8680800144195,330.6190507525767,157.86276938515178,2019
11,5,574.7284800041199,342.5207325979658,163.65090019731437,2020
12,5,429.0224400123596,249.52985502737104,116.38495253821362,2021
13,5,325.4364001132965,191.12575720476974,90.58131042708564,2022
14,6,849.2220911247254,681.4526063232433,384.07527564655925,2016
15,6,973.689173286438,853.0852440554678,502.76670204943287,2017
16,6,913.5198074295043,872.9445426805196,521.4460516948449,2018
17,6,1562.7653434753418,1510.394643374736,904.6123135528916,2019
18,6,1652.3226789848327,1758.1832960579673,1057.1131219293866,2020
19,6,1034.3904909475566,1083.332010219301,659.815571519073,2021
20,6,732.3525938966275,736.8749333841954,386.73938543705617,2022
21,7,20891.809865039064,11501.143416116718,6449.335347867832,2016
22,7,23877.707673339843,11766.433557712126,7093.810169937662,2017
23,7,22413.87953876953,11937.696429929254,7684.689835997835,2018
24,7,24727.822533105467,14928.285994493737,9416.344323050806,2019
25,7,27497.981880175783,13941.224172177439,8819.062391264984,2020
26,7,23999.052702832032,13541.07847342592,9260.793572878862,2021
27,7,19782.251649316408,9528.561594485895,6011.886808979308,2022
28,8,438.6632572162628,458.91768730340715,281.16197696345586,2016
29,8,594.7869619480133,554.5672465567428,338.1850056359585,2017
30,8,398.9696779066086,441.06440214232464,269.67684024130136,2018
31,8,755.6082840311051,1099.3207046214457,644.907177270338,2019
32,8,674.6596260074615,680.1453082341216,420.89812645441884,2020
33,8,466.6259002120972,442.0500775899577,268.8205078143626,2021
34,8,299.4011169862747,239.92787350411513,142.2127379280834,2022
35,9,91.96600261631012,278.14505015643846,197.18838698373435,2016
36,9,123.33649917411805,376.7510166703005,259.4556231092265,2017
37,9,83.97722568826676,278.2205960882842,174.49771929367844,2018
38,9,155.6615859518051,443.12227642965894,305.38224107345206,2019
39,9,139.4012745946884,308.0923218753871,211.14905089572994,2020
40,9,97.57612880516052,294.1928198427353,159.20813974661164,2021
41,9,63.963946955394746,235.78046603710155,142.75973185016502,2022
42,10,40.56326123642921,108.2441285717206,67.74370785554093,2016
43,10,46.21558510780334,175.80638807195686,115.33652553261811,2017
44,10,43.23319569039345,136.01618378424425,78.54389786096598,2018
45,10,90.64630044722557,340.08310150514967,196.73780757751152,2019
46,10,118.094141726017,316.5619203014259,198.14835377095088,2020
47,10,99.37405436496735,261.47275598999965,160.1462112301989,2021
48,10,44.22063124408722,112.2803657425931,84.85716524351885,2022
