real_river,Q,TOTN,DIN
4,27.16049906838196,25.369100761108275,11.867214634396376
5,432.6313063053131,346.0114713445301,205.8502643373445
6,1102.6088827350036,1092.9852177173389,653.0282373244717
7,23312.92940608259,12284.263430563855,7621.999018196192
8,518.3878320439748,560.3171996639709,338.86992401595535
9,107.98323768367767,309.19684377861506,199.9591801444055
10,68.90673854527473,203.76104254463803,125.33944561691212
11,194.2506283555167,68.77920538407417,33.24437910223217
12,156.62697347611018,77.09983068187191,27.088653566473138
13,175.26228315856116,135.56339271887705,90.40187923016876
14,395.38705867669245,567.5342271397715,369.0566293972119
15,83.4092079872727,68.86463126203667,54.38203914305042
17,243.9812329842159,278.8603329113371,177.61132719435017
18,11382.028633410646,4374.277215305342,2920.892141460255
19,220.95609282973152,145.38421871658906,95.22890244840394
20,552.6942966214862,1505.5932902147947,1295.5887116639976
21,4054.7806011003768,1657.6091016176106,938.1371334111088
22,9191.150414507185,2200.663125685982,1105.6672931387398
23,1522.8010321974073,523.3122844737198,183.80859702980948
