real_river,Q,TOTN,DIN
4,27.16049906838196,25.598652260751457,12.096766118393077
5,432.6313063053131,255.4290274121481,121.90623098585185
6,1102.6088827350036,1070.8953251564901,630.9383459756064
7,23312.92940608259,12449.20337690587,7819.417492853899
8,518.3878320439748,559.4276142788735,337.98033890113123
9,107.98323768367767,316.32922101427226,207.09155613608544
10,68.90673854527473,207.20926342387,128.78766701018645
11,194.2506283555167,75.21378774775249,39.678961670254
12,156.62697347611018,80.22669415350893,30.21551715479543
13,175.26228315856116,142.82947174272357,97.66795727762549
14,395.38705867669245,576.0039994852802,377.52640379302517
15,83.4092079872727,73.35504088661345,58.87244900958145
17,243.9812329842159,286.61768638949155,185.36868016805823
18,11382.028633410646,4333.57577257192,2882.3551077782313
19,220.95609282973152,154.28555026539962,104.130233435144
20,552.6942966214862,1513.6670592362555,1303.6624667794165
21,4054.7806011003768,1746.1978783834293,1026.725909885591
22,9191.150414507185,2409.7644700642986,1314.7686386673697
23,1522.8010321974073,544.2081824476311,204.70449530197126
