real_river,Q,TOTN,DIN
4,27.16049906838196,25.598652276948815,12.09676614513563
5,432.6313063053131,357.55843572680175,217.3972285756278
6,1102.6088827350036,1140.37398062124,700.4169997077786
7,23312.92940608259,14445.507423692061,9783.242991302048
8,518.3878320439748,590.9101686585974,369.46289309569016
9,107.98323768367767,336.59191282683844,227.35424961253577
10,68.90673854527473,219.472712167401,141.05111526169404
11,194.2506283555167,75.85075742225412,40.31593124046067
12,156.62697347611018,81.26059248280934,31.24941546530069
13,175.26228315856116,147.8958417036943,102.73432819208263
14,395.38705867669245,602.626427025611,404.1488293522657
15,83.4092079872727,75.99474497893281,61.51215291315314
17,243.9812329842159,302.53166156244293,201.282655839226
18,11382.028633410646,4873.430616886306,3420.045546322534
19,220.95609282973152,162.77982335122752,112.62450704867979
20,552.6942966214862,1658.1867980092336,1448.182220209584
21,4054.7806011003768,1746.1978778172847,1026.7259094105314
22,9191.150414507185,2409.7644696989637,1314.7686386613752
23,1522.8010321974073,544.2081828359596,204.70449565660263
