real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,name
6,0.07148406522844596,0.6433565870560135,0.0,0.04752536518380955,0.08611359967195754,0.032046325189850136,0.03285853297796126,0.0030651362798253525,0.026223311131772044,0.057327077280364666,Tista
7,0.0699382218041624,0.6294439962374615,0.0,0.0003145191668617657,0.03031799237872674,0.14177175368852593,0.03101831737458046,0.02166053101028654,0.028403068771760794,0.04713159956763356,Glomma
8,0.0809310317149775,0.7283792854347975,0.0,0.0,0.05202044228640883,0.01466636027080039,0.027641664739799433,0.0009574384416084997,0.04729607475130367,0.048107702360304296,Mosseelva
9,0.08872919793373218,0.79856278140359,0.0,0.0,0.0006281132410968982,0.009805174812126824,0.03712071255096202,0.00031120072285499003,0.04415838147350151,0.02068443786213552,Hølenelva
10,0.09201089547748591,0.8280980592973732,0.0,0.0,0.00779110678653987,0.0010238031055085476,0.02483020267583151,0.0001283983590970212,0.039230135005341296,0.006887399292822724,Årungen 
11,0.01706360416922236,0.15357243752300123,0.0,0.0,0.14483104158315857,0.0003134692501089945,0.01607597203191935,0.0023342555170464104,0.4495568043389572,0.21625241558658584,Akerselva
12,0.036454477976629596,0.3280903017896666,0.0,0.0,0.06455858461160298,0.00032823714247615603,0.02581189591433106,0.004470422957577639,0.23651675668630953,0.30376932292140635,Lysakerelva
13,0.05109852590160006,0.4598867331144006,0.0,2.6423828482593767e-06,0.016186629076094194,0.004054341079788308,0.032080939246313875,0.002306191205240129,0.29896175469314984,0.13542224330056463,Sandvikselva
14,0.07319203193540302,0.6587282874186277,0.0,0.0,0.012466600722036607,0.0,0.0653997236025557,0.00042260709832970395,0.13158408606291874,0.05820666316012868,Åros
16,0.07732697085431671,0.6959427376888504,0.0,0.0,0.06122659074825494,0.0,0.045254868979142715,0.0003930761690486504,0.03960687779405389,0.08024887776633283,Sageneelva
17,0.07315945437343349,0.6584350893609013,0.0,0.0009167003113922054,0.024810812184484138,0.01714324950526648,0.052664724506312995,0.0011952993838684636,0.07359096242901017,0.09808370794533057,Lierelva
18,0.06384189124131666,0.5745770211718498,0.0,0.0007250945705458117,0.06789307897978997,0.12124209117009671,0.043949646126718915,0.023173037813309406,0.03624521950413703,0.06835291942223562,Drammenselva
19,0.0838013080122498,0.7542117721102479,0.0,0.0,0.00790707975599854,0.0,0.044482728796606495,0.0008161332445823233,0.05185092767004351,0.05693005041027158,Sandeelva
20,0.09029795235458637,0.8126815711912775,0.0,0.0,0.002824559820121103,0.018358071582434,0.02600554444359742,0.00026483296067144257,0.02646606038352899,0.023101407263783236,Aulielva
Total,0.07104752570831657,0.6394277313748492,0.0,0.0021109740641296797,0.03639310038262346,0.11268356314015333,0.033476028760150205,0.017746574218141978,0.03601800115934702,0.05109650119228838,Total
