real_river,point,diffuse,human,natural,name
6,0.07957169037365969,0.9204283096263403,0.7820101215394065,0.21798987846059353,Tista
7,0.1420862728553877,0.8579137271446121,0.8309516552391905,0.1690483447608092,Glomma
8,0.01466636027080039,0.9853336397291996,0.817983385196701,0.18201661480329911,Mosseelva
9,0.009805174812126824,0.990194825187873,0.8896470502401804,0.11035294975981959,Hølenelva
10,0.0010238031055085476,0.9989761968944915,0.8931822000840546,0.10681779991594552,Årungen 
11,0.0003134692501089945,0.999686530749891,0.6195186831439868,0.38048131685601316,Akerselva
12,0.00032823714247615603,0.9996717628575238,0.5907471915327833,0.40925280846721657,Lysakerelva
13,0.004056983462636568,0.9959430165373632,0.7949864105165009,0.20501358948349901,Sandvikselva
14,0.0,1.0000000000000002,0.8557120970841021,0.14428790291589802,Åros
15,0.0,1.0,0.4884633582258594,0.5115366417741407,Tofteelva
16,0.0,1.0,0.8151835714235447,0.18481642857645542,Sageneelva
17,0.018059949816658687,0.9819400501833412,0.8027507261128832,0.19724927388711666,Lierelva
18,0.12196718574064253,0.8780328142593575,0.7767390725433483,0.22326092745665166,Drammenselva
19,0.0,1.0000000000000002,0.850545428576898,0.14945457142310226,Sandeelva
20,0.018358071582434,0.9816419284175659,0.8835112476008378,0.11648875239916215,Aulielva
21,0.09603631920467119,0.9039636807953288,0.7555736213643891,0.24442637863561092,Numedalslågen
22,0.11200839798473662,0.8879916020152633,0.6281699649745768,0.3718300350254231,Skienselva
23,0.030940649109015117,0.969059350890985,0.32972436285359213,0.6702756371464079,Kammerfosselva
Total,0.11260755115863934,0.8873924488413608,0.8003813537864443,0.19961864621355574,Total
