real_river,point,diffuse,human,natural,name
6,0.19948374165058363,0.8005162583494164,0.8330417335260369,0.16695826647396328,Tista
7,0.1802294957587906,0.8197705042412093,0.8424034075192495,0.1575965924807505,Glomma
8,0.30048784193851236,0.6995121580614878,0.9012485669562986,0.09875143304370149,Mosseelva
9,0.3374043330967911,0.6625956669032088,0.9275931054468339,0.072406894553166,Hølenelva
10,0.29238853413567756,0.7076114658643224,0.9111826481239284,0.08881735187607158,Årungen 
11,0.789947535642604,0.21005246435739602,0.9595555408459345,0.04044445915406558,Akerselva
12,0.0002511117164594215,0.9997488882835407,0.7126117908435837,0.2873882091564163,Lysakerelva
13,0.003251832023489841,0.9967481679765101,0.8408439583548601,0.1591560416451398,Sandvikselva
14,0.9037496057792045,0.09625039422079565,0.9859116684446939,0.014088331555306338,Åros
16,0.13019079200622188,0.8698092079937783,0.8457512587726772,0.15424874122732285,Sageneelva
17,0.33330204879450087,0.6666979512054994,0.8757636780099814,0.12423632199001866,Lierelva
18,0.2409851470874623,0.7590148529125375,0.8098503043022154,0.1901496956977844,Drammenselva
19,0.5680664556739207,0.4319335443260792,0.944843187356531,0.055156812643469055,Sandeelva
20,0.06240672042920876,0.9375932795707914,0.8948863012522996,0.10511369874770043,Aulielva
21,0.22253507346476062,0.7774649265352394,0.815591506180204,0.18440849381979596,Numedalslågen
22,0.45487653793492366,0.5451234620650763,0.7771392964333237,0.2228607035666763,Skienselva
23,0.14054925018387832,0.8594507498161217,0.49274128487470636,0.5072587151252935,Kammerfosselva
Total,0.2775197053664963,0.7224802946335037,0.8446904054561691,0.1553095945438309,Total
