real_river,Q,TOTN,DIN
4,30.450819427834155,27.04859444938457,11.511814592939592
5,470.5620480179215,387.5913596740919,233.91571886345338
6,1160.1627179708075,1123.5810167688073,680.3205118941727
7,22291.30915765137,13539.168838441547,9001.959165932742
8,501.771945763607,545.1700136296683,341.84505655950596
9,101.06541467880248,292.7969363504155,197.22306082630863
10,78.45563311021328,234.6186343658776,149.97271734065086
11,206.99498341014865,82.94295433274836,44.722988665446806
12,154.32939918079376,77.5200116260958,29.79440322234168
13,169.16554838055612,134.572173945413,88.84724262301272
14,307.4636441871071,463.8616947079895,310.93503156000196
15,79.71862300527927,74.39155101852792,63.95875566267523
17,235.21669968692783,281.53269656102617,178.17350485026597
18,11052.021012912597,4771.196290898818,3253.1943580707853
19,225.3629175430298,154.17816843406982,100.18448355837202
20,496.0599029056549,1462.2425247513313,1212.9666651875261
21,4191.494777506714,1793.629039224857,1026.9640420329454
22,9346.09931010132,2443.0918303465437,1314.3132939427833
23,1487.620315499153,540.43668562636,207.43925876270114
