real_river,Q,TOTN,DIN
4,30.450819427834155,26.662080541004798,11.125300688244154
5,470.5620480179215,371.92197212926663,218.2463314360104
6,1160.1627179708075,1060.1230786590409,616.8625739705669
7,22291.30915765137,11357.494184449111,6820.284524598453
8,501.771945763607,513.4448285810971,310.1198716199769
9,101.06541467880248,268.17457702693673,172.600701243257
10,78.45563311021328,213.45511855166896,128.80920126871382
11,206.99498341014865,74.97822480048922,36.758259098036206
12,154.32939918079376,73.42816387981522,25.702555391899846
13,169.16554838055612,123.13668614536884,77.41175483339205
14,307.4636441871071,434.9981347520679,282.07147153392697
15,79.71862300527927,66.04068157533165,55.6078861709301
17,235.21669968692783,257.527504281503,154.1683125273469
18,11052.021012912597,4186.840403094264,2668.8384654561246
19,225.3629175430298,137.1408958439396,83.14721113263352
20,496.0599029056549,1321.1985852604753,1071.9227254600669
21,4191.494777506714,1665.9803246180702,899.3153273788315
22,9346.09931010132,2154.4662727920863,1025.687733375493
23,1487.620315499153,516.8403100562614,183.84288326619358
