,real_river,Q,TOTN,DIN,year
0,4,18.17474972884655,15.64967455798828,7.1523186127255,2016
1,4,27.65556001274586,27.533208115187072,10.90937354417747,2017
2,4,24.800290517860653,23.340132427033613,12.751852139084017,2018
3,4,38.90223913167715,39.24575239782642,20.19765258919407,2019
4,4,38.41655899894238,35.68684300307821,16.984425326691692,2020
5,4,21.49644965246916,18.391056494498237,7.56274416583679,2021
6,4,20.677645436131954,17.737038332146092,7.512136063065092,2022
7,5,327.22811992378234,251.8647203448293,151.8105012918567,2016
8,5,420.3619200576782,340.7440421721502,205.08023034684962,2017
9,5,386.77370401153564,321.12728421263046,190.09522187478913,2018
10,5,564.8680800144195,451.54122612009735,270.1174512937926,2019
11,5,574.7284800041199,469.30262403589995,281.6140057970842,2020
12,5,429.0224400123596,329.73628108300386,190.0083465767874,2021
13,5,325.4364001132965,257.7641214430996,152.22609318025187,2022
14,6,849.2220911247254,690.7811441547522,393.4038103161833,2016
15,6,973.689173286438,879.0827268836448,528.7641790366322,2017
16,6,913.5198074295043,918.9781889059212,567.4797001748126,2018
17,6,1562.7653434753418,1523.646972707188,917.864640017309,2019
18,6,1652.3226789848327,1795.3329241716265,1094.2627513014636,2020
19,6,1034.3904909475566,1100.1107531665991,676.5943164374044,2021
20,6,732.3525938966275,742.9638140316405,392.8282639874962,2022
21,7,20891.809865039064,11376.013336862083,6295.099651367159,2016
22,7,23877.707673339843,11372.747699217838,6666.859112348017,2017
23,7,22413.87953876953,12759.790371937275,8475.557605602187,2018
24,7,24727.822533105467,14064.094994007817,8517.70373050713,2019
25,7,27497.981880175783,13443.618737507599,8283.147819403692,2020
26,7,23999.052702832032,13787.099039657045,9473.379769313613,2021
27,7,19782.251649316408,9186.479834757329,5642.245438831545,2022
28,8,438.6632572162628,429.4481898470143,251.69248487919293,2016
29,8,594.7869619480133,536.1354190470438,319.75317594162385,2017
30,8,398.9696779066086,465.2798187128602,293.89225643084785,2018
31,8,755.6082840311051,1077.101876558573,622.6883402035053,2019
32,8,674.6596260074615,696.1941780450983,436.9470024335878,2020
33,8,466.6259002120972,464.4882480945648,291.25867958734153,2021
34,8,299.4011169862747,253.57266734264124,155.85752863558807,2022
35,9,91.96600261631012,249.8666447956556,168.90998178732568,2016
36,9,123.33649917411805,340.77312450898745,223.4777330075394,2017
37,9,83.97722568826676,293.90483281072846,190.18195910662658,2018
38,9,155.6615859518051,421.0465136135134,283.30648133732143,2019
39,9,139.4012745946884,306.1398096134266,209.19654111659315,2020
40,9,97.57612880516052,305.57412069045165,170.58943917121388,2021
41,9,63.963946955394746,247.07286041754244,154.05212548421827,2022
42,10,40.56326123642921,98.23512233970405,57.734699933347116,2016
43,10,46.21558510780334,157.41216320929573,96.94230020712983,2017
44,10,43.23319569039345,141.2735861605414,83.80130021828157,2018
45,10,90.64630044722557,344.0251353367733,200.67984084695345,2019
46,10,118.094141726017,322.3992566794511,203.98569087422388,2020
47,10,99.37405436496735,250.93346589735384,149.60692045498837,2021
48,10,44.22063124408722,112.04856818934668,84.62536678346056,2022
49,11,152.63626112937928,51.74077085979064,24.278111990243733,2016
50,11,176.21184726905824,63.55563616713152,28.69786151234329,2017
51,11,151.84632485961913,64.43637324650855,32.988801877655504,2018
52,11,229.1738697681427,84.33990918917445,40.25092505150986,2019
53,11,324.70371063308716,106.29154744111493,52.2932334966674,2020
54,11,200.93435720329285,65.85282996614309,32.90172976976638,2021
55,11,124.2480276260376,45.237370818656025,21.299990017439015,2022
56,12,126.0341001411438,57.65516231202616,19.038807124123267,2016
57,12,143.59643445911408,67.26838103930424,22.26799666546893,2017
58,12,122.32053131217957,95.32377404762862,36.38500623274456,2018
59,12,199.23522295475007,92.50571865043604,30.295025004034486,2019
60,12,241.82013991127013,104.17078424761381,38.62925188645856,2020
61,12,154.3747113882065,69.8352340143431,23.833401782264296,2021
62,12,109.00767416610718,52.939760461751334,19.171086270217874,2022
63,13,147.35597070980072,117.03867525813486,60.62501057779441,2016
64,13,167.88942017440795,125.1224396774464,73.17910509536546,2017
65,13,143.01415781536102,129.11580579431447,77.9618040592747,2018
66,13,225.34633366355897,178.4735719995432,112.0024762112609,2019
67,13,256.5494276927948,150.61522224272184,108.46231281646105,2020
68,13,159.23157898693086,122.75977108741277,115.19643550207331,2021
69,13,127.44909306707382,125.81826297256575,85.38601034895147,2022
70,14,335.6065243618011,344.86631011999873,205.02074080228303,2016
71,14,452.6812440135956,679.8381505174528,428.35963237204544,2017
72,14,305.8182820163727,374.6621494769475,236.3283653307433,2018
73,14,573.2972400730133,1003.8073886216845,619.6486572342428,2019
74,14,512.6038006874085,700.9458813868829,440.23494570408474,2020
75,14,356.56045627326966,464.2482847190432,319.9301523168902,2021
76,14,231.14186331138612,404.3714251363905,333.873912020194,2022
77,15,68.62675570600032,53.11927143660827,52.06829045474667,2016
78,15,91.96934644947052,71.07404668635398,69.21133250810253,2017
79,15,64.90283059537467,53.054578999708966,37.59119036292605,2018
80,15,120.97081093781031,82.53367958852922,68.2578365536987,2019
81,15,114.29241183867082,92.2099054146292,55.44244354041791,2020
82,15,74.5611834476307,72.946436132731,50.83277790980226,2021
83,15,48.541116935951514,57.11450057569603,47.27040267165886,2022
84,17,207.25435483703615,177.04548414199215,95.18335829862845,2016
85,17,234.26087814102172,190.83560592626978,113.88437011182614,2017
86,17,201.50015772285462,322.3662065647854,239.88430606163996,2018
87,17,309.9316342517853,460.23031373374965,293.3570762904465,2019
88,17,351.0621367904663,380.43263661342786,263.6118190192,2020
