,real_river,Q,TOTN,DIN,year
0,4,30.31600609717369,22.901770397057895,6.6068588257355225,2013
1,4,44.848849032819274,35.06882012850727,10.771473509173275,2014
2,4,39.219845669674875,31.066509556724903,10.804172106758113,2015
3,4,18.17474972884655,15.64967455798828,7.1523186127255,2016
4,4,27.65556001274586,27.533208115187072,10.90937354417747,2017
5,4,24.800290517860653,23.340132427033613,12.751852139084017,2018
6,4,38.90223913167715,39.24575239782642,20.19765258919407,2019
7,4,38.41655899894238,35.68684300307821,16.984425326691692,2020
8,4,21.49644965246916,18.391056494498237,7.56274416583679,2021
9,4,20.677645436131954,17.737038332146092,7.512136063065092,2022
10,5,433.9558801071167,330.50841793207076,184.6164460599613,2013
11,5,660.1188958442688,517.3919254341453,307.20315476168685,2014
12,5,583.1265600906372,449.23907851473956,249.69186317704455,2015
13,5,327.22811992378234,251.8647203448293,151.8105012918567,2016
14,5,420.3619200576782,340.7440421721502,205.08023034684962,2017
15,5,386.77370401153564,321.12728421263046,190.09522187478913,2018
16,5,564.8680800144195,451.54122612009735,270.1174512937926,2019
17,5,574.7284800041199,469.30262403589995,281.6140057970842,2020
18,5,429.0224400123596,329.73628108300386,190.0083465767874,2021
19,5,325.4364001132965,257.7641214430996,152.22609318025187,2022
20,6,1005.6029709594726,760.5664007039139,387.58685858340334,2013
21,6,1500.1597114974975,1171.4455045399502,663.4116439512425,2014
22,6,1377.602318106079,1018.3223573251705,546.4295758997215,2015
23,6,849.2220911247254,690.7811441547522,393.4038103161833,2016
24,6,973.689173286438,879.0827268836448,528.7641790366322,2017
25,6,913.5198074295043,918.9781889059212,567.4797001748126,2018
26,6,1562.7653434753418,1523.646972707188,917.864640017309,2019
27,6,1652.3226789848327,1795.3329241716265,1094.2627513014636,2020
28,6,1034.3904909475566,1100.1107531665991,676.5943164374044,2021
29,6,732.3525938966275,742.9638140316405,392.8282639874962,2022
30,7,18231.474801708984,8368.473921961911,4680.521771994049,2013
31,7,21608.55826567383,10102.18126796446,5327.9920702309755,2014
32,7,19882.552666552736,9114.442640617752,4840.338276386157,2015
33,7,20891.809865039064,11376.013336862083,6295.099651367159,2016
34,7,23877.707673339843,11372.747699217838,6666.859112348017,2017
35,7,22413.87953876953,12759.790371937275,8475.557605602187,2018
36,7,24727.822533105467,14064.094994007817,8517.70373050713,2019
37,7,27497.981880175783,13443.618737507599,8283.147819403692,2020
38,7,23999.052702832032,13787.099039657045,9473.379769313613,2021
39,7,19782.251649316408,9186.479834757329,5642.245438831545,2022
40,8,325.30656110916135,270.2618355345906,156.72582475471924,2013
41,8,540.4893163948059,489.42386309711304,303.56582221062285,2014
42,8,523.2087558242798,452.5421895314722,268.81760112273975,2015
43,8,438.6632572162628,429.4481898470143,251.69248487919293,2016
44,8,594.7869619480133,536.1354190470438,319.75317594162385,2017
45,8,398.9696779066086,465.2798187128602,293.89225643084785,2018
46,8,755.6082840311051,1077.101876558573,622.6883402035053,2019
47,8,674.6596260074615,696.1941780450983,436.9470024335878,2020
48,8,466.6259002120972,464.4882480945648,291.25867958734153,2021
49,8,299.4011169862747,253.57266734264124,155.85752863558807,2022
50,9,56.67960002117157,112.40307080422049,73.3376999951236,2013
51,9,98.90850841712951,175.29455893635495,117.49897751776419,2014
52,9,99.18337456398011,229.67023407848612,135.45607390884385,2015
53,9,91.96600261631012,249.8666447956556,168.90998178732568,2016
54,9,123.33649917411805,340.77312450898745,223.4777330075394,2017
55,9,83.97722568826676,293.90483281072846,190.18195910662658,2018
56,9,155.6615859518051,421.0465136135134,283.30648133732143,2019
57,9,139.4012745946884,306.1398096134266,209.19654111659315,2020
58,9,97.57612880516052,305.57412069045165,170.58943917121388,2021
59,9,63.963946955394746,247.07286041754244,154.05212548421827,2022
60,10,73.47729628372193,166.98929231267846,96.4064812760258,2013
61,10,110.4965135427475,235.0889861250056,139.8266014904276,2014
62,10,118.23535145874024,306.1456092665394,174.48281060230013,2015
63,10,40.56326123642921,98.23512233970405,57.734699933347116,2016
64,10,46.21558510780334,157.41216320929573,96.94230020712983,2017
65,10,43.23319569039345,141.2735861605414,83.80130021828157,2018
66,10,90.64630044722557,344.0251353367733,200.67984084695345,2019
67,10,118.094141726017,322.3992566794511,203.98569087422388,2020
68,10,99.37405436496735,250.93346589735384,149.60692045498837,2021
69,10,44.22063124408722,112.04856818934668,84.62536678346056,2022
70,11,177.14683840827942,71.51302912115639,34.22124688814115,2013
71,11,273.8083595787048,106.8822259909847,56.90670439505776,2014
