,real_river,date,Q,TOTN,DIN
0,4,2013-01-31,3.182198407745361,2.3686007401566482,0.8342136735907117
1,4,2013-02-28,0.7569504006385803,0.6293329524113409,0.25174835829645154
2,4,2013-03-31,0.5668704003810883,0.43920199068785937,0.1687775808155345
3,4,2013-04-30,2.681856022453308,2.277188164086228,0.7989165668229266
4,4,2013-05-31,1.9607616030693054,2.0390292225079523,0.8446227648119822
5,4,2013-06-30,1.393977604150772,0.9664889799335119,0.0
6,4,2013-07-31,0.7783689697980881,0.5253801160759776,0.0
7,4,2013-08-31,0.512818554353714,0.27597279113179135,0.0
8,4,2013-09-30,0.4055961623668671,0.2762102930685532,0.07095608593815814
9,4,2013-10-31,3.391027192568779,2.4867029241453,0.5664433005638034
10,4,2013-11-30,6.2779967897415165,4.827718835136345,1.2168801345140214
11,4,2013-12-31,8.40758398990631,5.789943387716388,1.8543003603819326
12,4,2014-01-31,4.502736034297943,3.038860854033829,1.0132132068243533
13,4,2014-02-28,7.423574343681335,5.591692145898816,2.3393404497292067
14,4,2014-03-31,3.7227168139457705,2.667722271446916,1.1061310095381438
15,4,2014-04-30,2.544739169883728,2.0662630201140004,0.8353606302564737
16,4,2014-05-31,1.9134143959522247,1.6616084954311956,0.6396836109401102
17,4,2014-06-30,0.4904063973426819,0.253032344948841,0.0
18,4,2014-07-31,0.2378246389746666,0.11915969668974673,0.0
19,4,2014-08-31,3.509533453989029,1.8985179553761953,0.0
20,4,2014-09-30,0.6931872008085251,0.5130154884101625,0.09485291261036005
21,4,2014-10-31,7.09540133907795,5.904063564237107,1.5330587150818127
22,4,2014-11-30,5.926867260932922,5.252246525027504,1.2358191575617006
23,4,2014-12-31,6.788447983932495,6.102637766892957,1.9740138166311134
24,4,2015-01-31,7.7015231340408326,6.633797775906163,2.8931114201756953
25,4,2015-02-28,3.3003072114944456,2.4687350903491256,1.1886318502294966
26,4,2015-03-31,4.343068788814545,3.275467107942347,1.6778998574656845
27,4,2015-04-30,1.4136767951488496,1.0104509244209252,0.4905759464134723
28,4,2015-05-31,3.0166559709548952,2.75874169366897,1.1018998472007708
29,4,2015-06-30,2.0976192383766175,1.4228365340793034,0.0
30,4,2015-07-31,1.443899509191513,0.9427592946838652,0.0
31,4,2015-08-31,0.8141990370512009,0.5194858598671599,0.0
32,4,2015-09-30,4.516041585302353,3.5623376216553453,0.7079925485482367
33,4,2015-10-31,0.788572795200348,0.6163045047815556,0.1219275627187491
34,4,2015-11-30,5.6782079947471615,4.513960342479018,1.324595156516613
35,4,2015-12-31,4.106073609352112,3.3416328068911247,1.2975379174893955
36,4,2016-01-31,2.58949440908432,2.3856443916670096,1.2132672623711018
37,4,2016-02-29,3.814732795715332,3.6749377253708193,2.0111074507348095
38,4,2016-03-31,2.6529119985580443,2.306983399680606,1.1483125194301556
39,4,2016-04-30,1.5751583928108215,1.2754325365953214,0.58431330867295
40,4,2016-05-31,0.7820063902616501,0.5450683799304293,0.18574988538985446
41,4,2016-06-30,0.23592383995056151,0.1135431477973379,0.0
42,4,2016-07-31,0.6398784009218216,0.30542963014161684,0.0
43,4,2016-08-31,0.9443520057678223,0.44536027028913644,0.0
44,4,2016-09-30,0.38002176010608674,0.2129182125012471,0.035409685121946935
45,4,2016-10-31,0.31898015999794005,0.20245573240756223,0.05247837227861663
46,4,2016-11-30,2.667772779750824,2.3344109069640977,0.9653143258647149
47,4,2016-12-31,1.5735167959213257,1.8474902246430966,0.9563658028613491
48,4,2017-01-31,2.37988797955513,2.7737128113697587,1.4537203585691265
49,4,2017-02-28,1.7871839989185334,1.8030583719530333,1.0386772029740057
50,4,2017-03-31,3.5414496431350706,3.5416305599743687,2.053084997768017
51,4,2017-04-30,1.77690239610672,1.685053259402603,0.8922360880442282
52,4,2017-05-31,0.8053344002008438,0.6512596268383525,0.22847527717789878
53,4,2017-06-30,0.42772320066690445,0.2346005403874048,0.0
54,4,2017-07-31,0.11008224048614502,0.060449609816467374,0.0
55,4,2017-08-31,0.7348233571887016,0.4089131088624052,0.0
56,4,2017-09-30,1.9570463929653168,1.610697256566793,0.35443955747063044
57,4,2017-10-31,3.3305472212791445,3.5877923685826905,1.1435200226762603
58,4,2017-11-30,4.998758369636536,5.3730247783070775,1.7161682866558223
59,4,2017-12-31,5.805820812606812,5.803015823126119,2.0290517528414798
60,4,2018-01-31,5.084726375198365,4.065372170247475,1.9276408560244491
61,4,2018-02-28,2.4693984051704407,1.8832140552900491,0.9454605618940043
62,4,2018-03-31,0.9160127985477448,0.7029345849183989,0.35229462561161934
63,4,2018-04-30,2.5815455929756164,2.3020640882009267,1.0803726286701025
64,4,2018-05-31,1.1364278366804124,1.0198987887351971,0.4774174399685933
65,4,2018-06-30,0.2693519996523857,0.1267004755216881,0.0
66,4,2018-07-31,0.14067647985219955,0.059039942651570414,0.0
67,4,2018-08-31,0.15711840153336526,0.052266524707686404,0.0
68,4,2018-09-30,2.603154252433777,2.6187117628656598,1.7715602062497653
69,4,2018-10-31,1.4795136011123657,1.4918975170438793,1.005972227887503
70,4,2018-11-30,3.858710367679596,4.161471854209877,2.5627652223051838
71,4,2018-12-31,4.103654407024384,4.856560662641204,2.6283683704727956
72,4,2019-01-31,0.8674559992790222,1.0266263384750913,0.5550171555486786
73,4,2019-02-28,5.410195188474655,6.171879660650164,3.3319905021421734
74,4,2019-03-31,5.866387148666382,5.45723847408558,2.7476730418803106
75,4,2019-04-30,0.5962463981151581,0.52769111461877,0.2519037939787091
76,4,2019-05-31,0.40727232241630557,0.34554200993022494,0.1483878338677141
