Vassom,Q,TotN,DIN,SS,TOC,TDP
001.,1149.9914413970946,1254.5548413946444,789.338200093217,3446.96432574077,10719.252823684177,26.6135549016475
002.,23673.136588110352,14970.955478210524,9905.563393586714,170864.10396173192,111023.20749855209,259.2856724636423
003.,583.1216412952423,1018.7938260272284,658.390732429435,1990.5953879440733,5128.508806876404,12.002087247174751
004.,120.99177027139665,547.8247520600255,383.68961817675165,5073.59948801616,1133.944156413213,11.576890743344649
005.,60.03169374847412,334.43522586455606,220.71149547361202,623.5427413895017,506.6471903240202,3.9251006158623833
006.,185.74401396560668,488.91685447673854,308.17579327752554,1335.7194428271616,1257.233527498472,6.986503908966535
007.,155.0507295753479,155.21992836115584,79.60838233268896,1192.1587886335274,1358.7615908019748,7.632276280744196
008.,178.7499705511093,156.74208517387572,100.21806438043556,656.8805686310557,1050.231780321149,1.8653739792838164
009.,443.9322553676605,1968.8949768338293,1475.6472197480705,4822.025405398835,4462.308048767107,32.81049795249644
010.,92.61432932755183,93.09325857124932,78.735990999748,366.78946021146675,506.08528232020507,3.0426566377421214
011.,248.5642233718872,473.35834192674,330.01895710233964,8218.691646970025,1738.2496083487192,8.63130049582332
012.,11828.709241699218,5507.6586553280185,3763.341226882257,22523.991727996316,43651.68248916568,43.415846380221446
013.,224.70164661827087,770.1067448470708,635.8447444406704,1509.0251562924395,2023.3926246003005,7.675029233893077
014.,617.4012730081558,2163.7422890520315,1946.9166310498279,23741.938518184586,4723.157670981496,41.124169331106195
015.,4022.187823608398,2239.803309730245,1429.7063619533023,19548.09590866139,18742.47593253829,26.878025942479017
016.,9012.396444433594,3239.03256191929,2116.4196754120676,7489.422117412836,24621.25274009383,27.351769959553934
017.,1676.6379914714814,638.8986949287366,247.83959834947177,2798.0506904021945,9488.731269182643,6.731817071733457
