Vassom,Q,TotN,DIN,SS,TOC,TDP
001.,1149.9914413970946,1147.302867871853,708.9136642626794,1299.5055508042706,10660.918171939526,24.869546933765807
002.,23673.136588110352,13366.311080266192,8623.131061275211,64415.76719357292,108883.42509432165,240.26721424950236
003.,583.1216412952423,807.420953617152,506.00182161597985,750.4544612549157,4879.841207859536,10.832123365019868
004.,120.99177027139665,414.54992314256316,287.44659897332366,1912.7470069820922,984.3539424188097,9.846424401002496
005.,60.03169374847412,308.49358806726764,201.62063104293546,235.0756135038421,456.72376137377006,3.449373683322806
006.,185.74401396560668,408.0434731458817,255.5722494139439,503.56622994584,1203.0268739345224,6.97192491827969
007.,155.0507295753479,154.7279393295671,79.24622454992615,449.4438633148398,1357.3783547274759,7.58302211495321
008.,178.7499705511093,154.8844571063428,98.68391061206516,247.64397437390798,1040.7073560095325,1.7968379976549997
009.,443.9322553676605,1406.8518256118396,992.7169056209359,1817.903577835361,3198.759977703533,31.59195821183291
010.,92.61432932755183,92.69019837615473,78.39948292600926,138.27962649972295,502.99348728768854,2.8285782926031255
011.,248.5642233718872,392.12771238253185,270.85285780982053,3098.446750907699,1494.3484425417291,8.098857501125469
012.,11828.709241699218,4979.7428765352915,3320.3909385702323,8491.54488145461,42639.164597738556,41.21447182130034
013.,224.70164661827087,383.1524847708523,304.2673812599111,568.9024839222498,1534.8909905398007,7.132185845099994
014.,617.4012730081558,2079.0639416188546,1875.15249957754,8950.71082135559,4069.3082131857914,36.30963159862336
015.,4022.187823608398,1851.595863711703,1142.6320537504773,7369.632157565346,17979.31188189715,25.315360638653384
016.,9012.396444433594,2929.290813807231,1888.7307914903006,2823.5121382646394,23903.86876481763,26.531945444312978
017.,1676.6379914714814,630.0660456762118,241.48632680217193,1054.8651102816275,9480.942569723456,6.725094682153498
