,real_river,Q,TotN,DIN,TDP,TOC,SS,year
5,5,564.8680800144195,299.39313763747657,134.57846866730978,3.4465003433940793,5260.418022952203,354.16290302982657,2019
6,6,973.689173286438,917.2425384422223,563.3404349107483,17.216609060188397,9185.177899621896,1109.7148373494906,2017
7,6,913.5198074295043,937.8870941516551,582.9167130486744,21.195081702705565,8877.512137414185,1082.6289936976198,2018
8,6,1562.7653434753418,1586.7789710216816,980.4838448286155,36.196950038403465,13920.064478782495,1706.1728213657013,2019
9,7,23877.707710253908,12276.837705410395,7664.195029139764,195.7209384965493,108642.37144370055,61892.67410836968,2017
10,7,22413.87958425293,12464.836163662718,8263.605630291111,214.176141978943,90441.88679488351,52619.878151706485,2018
11,7,24727.82246982422,15356.66835907652,9941.060612908726,310.9039778691926,127565.77245435072,78734.7493206426,2019
12,8,594.7869619480133,577.6885646780619,363.41431211352375,8.31268144625215,4877.740112653219,829.6052373867232,2017
13,8,398.9696779066086,460.3831145114562,290.66520974777507,6.102712341687489,3326.071661703477,420.23874509660254,2018
14,8,755.6082840311051,1138.9614285680568,688.97478094266,15.493925673873273,6177.944256459518,1001.5194012814214,2019
15,9,123.33649917411805,391.06974179117464,276.2918495879577,9.404624371160441,965.8458779726276,1421.5179433109881,2017
16,9,83.97722568826676,287.9842059389774,186.48752611851046,4.3875600471444125,667.9545448629929,869.674594786472,2018
17,9,155.6615859518051,459.6220802443964,324.8383463611777,14.51382275328941,1215.1377045555046,3447.0484828488165,2019
18,10,46.21558510780334,182.45361762814397,123.3134020992941,1.3591763884860086,299.9196480461505,177.91575487305795,2017
19,10,43.23319569039345,140.37832933691348,84.16978697593485,1.6488385795242104,194.54485416951783,96.34411199628508,2018
20,10,90.64630044722557,350.1093954185264,209.91607723105184,3.8452770694340486,654.4509048953795,430.96697364218335,2019
21,11,176.21184726905824,74.67923712438649,39.85609856474277,1.7423684627707048,830.7410657920593,497.6839894818269,2017
22,11,151.84632485961913,67.51644537568751,36.100122444288125,1.8341629285044156,655.7560546918361,333.9018797675459,2018
23,11,229.1738697681427,95.26305568246902,51.21788022867331,2.960436733880126,1021.0209284529939,679.1128205881472,2019
24,12,143.59643445911408,73.4333042543008,28.53744800782113,1.772391155393686,1179.178079890497,516.8588819746486,2017
25,12,122.32053131217957,95.25808410916784,36.45622336757463,2.008663427994873,900.9783672291578,449.0341980968317,2018
26,12,199.23522295475007,98.97194775472295,36.90575779600054,2.068737179660611,1599.131875015776,382.4385098730391,2019
27,13,167.88942017440795,139.9289176332747,88.28173706476827,1.2548126837239328,1153.1240686923065,366.55396664666927,2017
28,13,143.01415781536102,129.8614673157571,78.99911920042587,1.042126531136353,865.4391095584423,156.00550170374936,2018
29,13,225.34633366355897,194.86298636999666,128.77087557100137,3.0935747781047134,1103.558889777849,220.37245477130534,2019
30,14,452.6812440135956,743.3443972738345,496.0277980269767,12.681634014961991,3062.2213697070815,1489.405146496018,2017
31,14,305.8182820163727,368.7664737386449,232.72207926061736,6.234853456136945,1627.0678371453075,1184.6876614511516,2018
32,14,573.2972400730133,1055.0490573678403,677.2480649789758,27.683064088792573,3140.7953281571213,2779.6179255589127,2019
33,15,91.96934644947052,84.66258697046626,82.81264865833397,2.8439009452486026,489.7331146727837,126.71118661700123,2017
34,15,64.90283059537467,53.224223284205834,37.83873752262894,2.65140551504725,341.4032132833311,95.46726158370215,2018
35,15,120.97081093781031,97.13286333774134,82.96532149188184,2.900208227588134,636.6730908166613,192.66043129846545,2019
36,17,234.26087814102172,221.5408270732137,145.31707820739365,6.958394512993943,1303.6672982862738,2159.6089058195466,2017
37,17,201.50015772285462,319.14578595000035,237.44365989923776,6.956634452680157,1172.5216881488839,2765.6953186540013,2018
38,17,309.9316342517853,493.7754770320534,328.4798426482722,9.04684409230433,1863.4868258641268,4370.036028249549,2019
39,18,12046.636526220704,4815.340665557964,2895.0390217359613,29.703900534795125,46703.984938158705,7812.103908303685,2017
40,18,11165.745345996094,4251.176606165208,2848.285356832301,31.934805708424438,35857.113898994394,8813.543302686403,2018
41,18,12273.74585288086,5531.5409842305735,3931.122512363705,59.79839602598899,45020.31707261149,8848.987433373746,2019
42,19,212.96139119796752,172.6147792951611,140.2736106470676,3.5374151244803054,1237.1759365560579,415.6750689202407,2017
43,19,186.07123207054138,161.7865987352378,107.37964081390463,3.2693313150660845,1249.388860558482,478.3790111069481,2018
44,19,275.0723165863037,205.79548600918773,147.03661659765592,5.525622415568396,1562.928883102843,812.6533717395604,2019
