,real_river,date,Q,TotN,DIN,TDP,TOC,SS
18204,21,2018-11-16 12:00:00,16524468.017578125,10106.450485165666,7120.7366137591325,116.79369897834569,72263.87887429941,35592.08408081966
18205,21,2018-11-17 12:00:00,12926376.5625,8494.664527460065,5937.058710487774,94.48894555340571,57949.9118209053,27876.037316602447
18206,21,2018-11-18 12:00:00,10894655.56640625,7722.170543939727,5353.846762396763,82.35307980323486,50195.093413610164,23534.79098359497
18207,21,2018-11-19 12:00:00,9208648.608398438,7030.6399765835195,4837.768180851295,71.77903198490148,43637.16434790591,19940.44979865987
18208,21,2018-11-20 12:00:00,8853694.848632812,7232.710025022194,4945.449969574191,70.94196844548577,43102.13396274551,19236.307326285627
18209,21,2018-11-21 12:00:00,8598975.29296875,7444.806207831294,5065.623970147975,70.71966933352887,42888.72446613436,18770.407186896187
18210,21,2018-11-22 12:00:00,8574530.2734375,7784.754354006134,5276.768868969433,72.41993651265489,43655.546174263,18838.296854235254
18211,21,2018-11-23 12:00:00,8167223.14453125,7698.392876331009,5202.483960305024,70.99689819198686,42280.733195364475,18102.47472563522
18212,21,2018-11-24 12:00:00,8262830.56640625,8014.945028214017,5402.72878289337,74.0928832001947,43336.03277419782,18533.18733667226
18213,21,2018-11-25 12:00:00,7023767.2119140625,6963.655927456506,4684.5440037272765,65.02201433792659,37204.12326739615,16002.591496199491
18214,21,2018-11-26 12:00:00,5614661.2060546875,5659.218629812027,3800.7309024960655,53.588887094621995,29960.788990801226,13051.564517373485
18215,21,2018-11-27 12:00:00,5519523.1201171875,5629.461733508792,3774.9154855639126,54.13529577779919,29612.979991252396,13153.239677987518
18216,21,2018-11-28 12:00:00,8320497.5830078125,8552.625111141087,5725.890281925317,83.49272942334179,44815.04909535882,20420.53293215418
18217,21,2018-11-29 12:00:00,8521560.571289062,8814.61520664625,5894.641014897877,87.11757200620603,46028.90151786753,21618.3477617809
18218,21,2018-11-30 12:00:00,13504684.130859375,14025.798197107293,9368.929753247787,140.06907139188732,73093.10055750103,35486.085960056196
18219,21,2018-12-01 12:00:00,15915011.572265625,16583.070611217034,11067.98471452853,166.90788199104742,86265.54066806637,43312.07218264139
18220,21,2018-12-02 12:00:00,11493518.994140625,12010.039254136107,8011.585176854397,121.55423164839858,62366.3763298361,32322.028416413086
18221,21,2018-12-03 12:00:00,14261763.8671875,14924.404542841057,9949.92384790294,151.67540231812106,77438.84995689268,41284.97909864009
18222,21,2018-12-04 12:00:00,15130651.025390625,15826.17778564443,10548.419613133943,160.72575421889516,82119.0521877418,44876.86322755403
18223,21,2018-12-05 12:00:00,12876286.81640625,13463.668705556309,8970.535111559131,136.58094844650233,69840.13720076493,38942.98862204317
18224,21,2018-12-06 12:00:00,11792590.13671875,12324.393126640953,8206.255982805616,124.84990558581119,63906.04401180539,36209.71363572115
18225,21,2018-12-07 12:00:00,10684431.958007812,11159.36918752243,7423.175917016896,112.83743929934843,57829.52970877961,33184.64259104492
18226,21,2018-12-08 12:00:00,10543129.541015625,11001.722087761997,7307.060179128924,110.9758331102252,56966.15568204832,33024.414557800446
18227,21,2018-12-09 12:00:00,10380388.623046875,10819.169918714784,7169.580680449106,108.77883812880752,55951.571952604005,32716.25249688591
18228,21,2018-12-10 12:00:00,9326605.517578125,9707.167628227302,6411.97177322217,97.15940580857182,50103.31268357155,29526.402369613097
18229,21,2018-12-11 12:00:00,7498924.365234375,7791.779430922709,5123.47946010352,77.50774577666589,40098.97116249496,23816.217132112426
18230,21,2018-12-12 12:00:00,7444532.8125,7714.581568388763,5039.650873595635,76.14020261007114,39555.80172908706,23697.292724237326
18231,21,2018-12-13 12:00:00,7714219.7021484375,7965.180693442431,5156.3946993348345,77.81692252532392,40637.0328410531,24595.38028564222
18232,21,2018-12-14 12:00:00,9304930.37109375,9559.793642882947,6112.463968508178,92.20335411281998,48455.25680081849,29700.91323618937
18233,21,2018-12-15 12:00:00,9289986.767578125,9485.877999692393,5967.09955527905,90.01322997554666,47653.26836412577,29677.068768392433
18234,21,2018-12-16 12:00:00,11161807.91015625,11303.06246639346,6960.964826330262,105.2003371492567,56158.303856501196,35655.04973680025
18235,21,2018-12-17 12:00:00,13451083.59375,13477.446538345688,8082.616709389682,122.66358046887058,66065.85746716347,42928.36334288904
