real_river,Q,TotN,DIN,TDP,TOC,SS
4,30.452696554094555,30.334867217396773,14.914465858823737,0.94319718886138,280.8457921193059,19.09640368742058
5,457.3345680278778,247.65232151339106,111.67204622073002,2.8415893252068476,4261.027248664314,286.85513504869624
6,1149.9914413970946,1147.302867871853,708.9136642626794,24.869546933765807,10660.918171939526,1299.5055508042706
7,23673.136588110352,13366.114076049877,8622.953757446534,240.2670194482283,108883.34356431158,64415.76719357292
8,583.1216412952423,725.6777025858582,447.6847676013196,9.969773153937638,4793.918676938738,750.4544612549157
9,120.99177027139665,379.55867599151617,262.5392406892153,9.435335723864755,949.6460424637083,1912.7470069820922
10,60.03169374847412,224.31378079452793,139.13308876876025,2.2844306791480893,382.9718023703493,235.0756135038421
11,185.74401396560668,79.15291272751433,42.39136707923473,2.178989375051749,835.8393496456298,503.56622994584
12,155.0507295753479,89.2211120393972,33.96647639046543,1.9499305876830568,1226.4294407118102,449.4438633148398
13,178.7499705511093,154.8844571063428,98.68391061206516,1.7968379976549997,1040.7073560095325,247.64397437390798
14,443.9322553676605,722.3866427934399,468.6659807555233,15.533183853297169,2610.0281783365035,1817.903577835361
15,92.61432932755183,78.33989119747115,67.87223589094825,2.798504895961329,489.26980625759205,138.27962649972295
17,248.5642233718872,344.82069668508916,237.08019358496787,7.65395768599281,1446.5586040997614,3098.446750907699
18,11828.709241699218,4866.019418651248,3224.8156303106557,40.47903408973618,42527.1386365882,8491.54488145461
19,224.70164661827087,180.0656213465289,131.56328935287607,4.110789618371595,1349.8312267391277,568.9024839222498
20,617.4012730081558,2048.617789958274,1850.1884855854007,36.07166104972368,4039.396322923781,8950.71082135559
21,4022.187823608398,1766.067027714592,1082.6492400454106,24.302997195604302,17880.90909559825,7369.632157565346
22,9012.396444433594,2238.763973033558,1226.2486698905861,23.090154730040208,23768.861523678603,2823.5121382646394
23,1676.6379914714814,599.1268835240764,219.03023072254942,6.597407048597973,9449.543304799781,1054.8651102816275
