,real_river,Q,TotN,DIN,TDP,TOC,SS,year
4,5,386.77370401153564,210.85645369881624,91.48591578587343,2.4736294184505905,3747.588676646013,52.82013117590462,2018
5,5,564.8680800144195,295.6220575066409,131.2297167111331,3.4183515665933584,5249.2992382441,77.0327799693522,2019
6,6,973.689173286438,298.0906800385589,116.4623667328104,1.2830984747384548,8002.607369413012,241.37033597522074,2017
7,6,913.5198074295043,302.9448942776498,120.70081139224465,1.5947841485301417,7734.8557517699965,235.47898536659105,2018
8,6,1562.7653434753418,519.836730518605,205.7514506759497,2.737314505643335,12145.671555810326,371.10390279041786,2019
9,7,23877.707710253908,4216.629723072669,1390.1107985064834,43.355962754948614,99269.82507121332,13462.067047443805,2017
10,7,22413.87958425293,4070.1917131159253,1498.2886359619295,47.76511553121255,82201.99399116905,11445.172436180192,2018
11,7,24727.82246982422,5146.358884047425,1808.1589526897337,70.78300982392676,118216.76859749542,17125.330090962052,2019
12,8,594.7869619480133,177.35891257009416,66.82142290149116,0.7653720322133882,4748.756492324194,180.44464049260293,2017
13,8,398.9696779066086,140.99720290635165,53.44495858256053,0.5618938819789756,3238.1192945119956,91.40471378758996,2018
14,8,755.6082840311051,358.81687452851975,126.68261505515343,1.4265680591902947,6014.578902555177,217.83711115404924,2019
15,9,123.33649917411805,66.28489141475036,31.408201905040546,0.42518767705736804,915.1139568058974,309.18957918170037,2017
16,9,83.97722568826676,52.040486805887326,21.19945946782523,0.19836410008425467,632.8696346600073,189.15999143896738,2018
17,9,155.6615859518051,77.88256500133122,36.926852871209874,0.6561768208730054,1151.3115107269512,749.7559034313076,2019
18,10,46.21558510780334,23.70537430751295,13.52018200349133,0.037323623220475645,278.2274445602045,38.697856497588205,2017
19,10,43.23319569039345,18.90874096366724,9.228444018475956,0.04527825284479161,180.47406344631497,20.95548324587633,2018
20,10,90.64630044722557,47.15961670878135,23.015370079721105,0.10559391405927068,607.1166146977622,93.7381746383529,2019
21,11,176.21184726905824,41.94209501393586,15.045372489126855,0.24907540633558634,771.9211586776617,108.2495680040048,2017
22,11,151.84632485961913,37.89288411696814,13.627520278148555,0.26219665185116553,609.3258174151106,72.62587305288797,2018
23,11,229.1738697681427,53.354004411974046,19.334358226802273,0.42319319705831066,948.7284181191036,147.71154187858906,2019
24,12,143.59643445911408,47.93025872292563,11.457598551191726,0.4095064920731834,1145.5668480171312,112.42023427565303,2017
25,12,122.32053131217957,62.40660750914309,14.63693495236,0.4640956312502661,875.2969171832676,97.66791576641963,2018
26,12,199.23522295475007,65.23897795757067,14.817420111180402,0.4779751735535695,1553.5502833216676,83.18291196177509,2019
27,13,167.88942017440795,49.98486277288038,18.15823161243722,0.12921287180311045,1067.4173051725156,79.72791847487237,2017
28,13,143.01415781536102,47.59192868376742,16.248936260898535,0.10731181817161861,801.1147234584521,33.932231139807556,2018
29,13,225.34633366355897,67.21429734766251,26.486241529362545,0.31855397329696195,1021.5360967645718,47.93247026855979,2019
30,14,452.6812440135956,181.93681786576312,73.14377577931246,0.6726603561701582,2798.005622724496,323.9554960548368,2017
31,14,305.8182820163727,94.16205544220908,34.31697092484633,0.3307089887764142,1486.6805484881227,257.6774223846006,2018
32,14,573.2972400730133,266.05865115385575,99.86633822993278,1.4683475554294492,2869.800042626802,604.5853312886759,2019
33,15,91.96934644947052,36.368264549250185,35.17653964852459,0.4071423104429538,480.52810112869366,27.560523349055973,2017
34,15,64.90283059537467,26.655943040422173,15.646648484180298,0.33342031084378454,335.0322394200318,20.76476246648164,2018
35,15,120.97081093781031,47.01007673006377,37.919098120511244,0.5040161063696169,624.6603789035682,41.9049213964832,2019
36,17,234.26087814102172,73.68523841906544,28.701997999335745,0.6214072403190364,1230.1840149385544,469.7292580297157,2017
37,17,201.50015772285462,95.11447524879398,46.8981861736726,0.621248927072509,1106.4306376733487,601.5570719618784,2018
38,17,309.9316342517853,162.4277797119412,64.87900723675331,0.8079121109932553,1758.4484680227442,950.511815163032,2019
39,18,12046.636526220704,2001.8223466021489,662.1543357382659,8.702312060804918,43145.581510538505,1699.1844044586264,2017
40,18,11165.745345996094,1625.7897558844538,650.7911101608031,9.376875662782258,33115.44685097706,1917.0041135816582,2018
41,18,12273.74585288086,2017.7403190673558,902.3414695136155,17.6397957771423,41590.136062386206,1924.7134470468093,2019
42,19,212.96139119796752,36.47455868867697,21.63170677866933,0.23618104758945627,1178.5485888793676,90.41208395612662,2017
43,19,186.07123207054138,41.52896085477102,16.559101303782118,0.21828107682615566,1190.1827530023181,104.05060719037067,2018
