,real_river,Q,TotN,DIN,TDP,TOC,SS,year
0,4,27.65556001274586,27.665358999544075,11.041168515871597,1.0566921447727946,247.48981488981528,45.978873027311664,2017
1,4,24.800290517860653,23.63279684019545,13.044289859719077,0.6968679984298976,235.85577832950898,41.28073803136562,2018
2,4,38.90223913167715,39.70644627303995,20.657939282598647,1.0760314283298684,359.19178173971073,64.70116098976233,2019
3,5,420.3619200576782,228.5882870251474,105.28969599401333,2.5752232290633046,3759.1932955007505,699.0947700141506,2017
4,5,386.77370401153564,214.97553946433783,95.14797484053356,2.503044405090204,3763.470417623607,644.1479411695685,2018
5,5,564.8680800144195,299.39313901563656,134.5784686988467,3.446500342800897,5260.418022141148,939.4241459677098,2019
6,6,973.689173286438,1001.9490431753262,626.8069218438,18.412128374333644,9246.45491688483,2943.540682624643,2017
7,6,913.5198074295043,1051.759227451004,667.5598562716889,22.681054545122745,8930.032634523273,2871.694943495013,2018
8,6,1562.7653434753418,1709.956253557603,1073.6478221641623,38.747481785486116,13981.270919644427,4525.657351102655,2019
9,7,23877.707710253908,13743.053715212238,8822.886534663063,210.999271980248,110764.73237498364,164171.54935907078,2017
10,7,22413.87958425293,14044.027985980601,9531.050282619404,231.00866127021823,92302.66364749383,139575.27361195357,2018
11,7,24727.82246982422,17125.193720789786,11362.22145199164,335.84849973663853,130001.98188314863,208845.48891417138,2019
12,8,594.7869619480133,586.1034954464332,369.71662103434033,9.288182908203321,4901.17950741783,2200.544396251255,2017
13,8,398.9696779066086,467.09713628249074,295.70590798952816,6.818871870517513,3342.05467905505,1114.691631555975,2018
14,8,755.6082840311051,1155.3462047023547,700.9229430571456,17.312156329556736,6207.631570513616,2656.5501360249905,2019
15,9,123.33649917411805,401.61412088051753,284.3162193662864,11.12945933330373,1016.4901851138691,3770.6046241670774,2017
16,9,83.97722568826676,295.6287953621381,191.90370066560047,5.192242138080237,702.9788567409618,2306.829163889846,2018
17,9,155.6615859518051,472.0156390130241,334.27265857601003,17.175704727236756,1278.8536615400158,9143.364675991555,2019
18,10,46.21558510780334,186.85753710464746,126.3863789836491,1.6422228152782932,302.9393267823267,471.92507923888047,2017
19,10,43.23319569039345,143.74082012410855,86.26730313967276,1.9922045273505018,196.50359182344462,255.55467373019914,2018
20,10,90.64630044722557,358.4955604484054,215.1471988886129,4.6460454924342045,661.0401041336381,1143.1484711994253,2019
21,11,176.21184726905824,74.87614077597594,40.01762014764548,1.7540261526439467,830.7410674392103,1320.1166829756683,2017
22,11,151.84632485961913,67.69466715023958,36.24642272702574,1.8464347837329689,655.756057037455,885.6813786937557,2018
23,11,229.1738697681427,95.51537399994118,51.425446213696134,2.9802441608388683,1021.0209240989403,1801.3602668120614,2019
24,12,143.59643445911408,73.84306817589228,28.84172049051598,1.817160650758279,1180.508022486908,1370.9784667762565,2017
25,12,122.32053131217957,95.78495516721905,36.84492708598698,2.059401186906296,901.9945333230611,1191.0721434929221,2018
26,12,199.23522295475007,99.5112798698465,37.29925494318174,2.1209924227575545,1600.9354745489582,1014.4257556314034,2019
27,13,167.88942017440795,141.59862350649885,89.65417682385832,1.302673543100978,1163.6773148896855,972.2916887179556,2017
28,13,143.01415781536102,131.38234750770317,80.2272497401605,1.0818750789469769,873.3595086512897,413.80769682692136,2018
29,13,225.34633366355897,197.24528450742514,130.77276657728783,3.2115733158034945,1113.6585174224717,584.54232034829,2019
