,real_river,Q,TotN,DIN,TDP,TOC,SS,year
0,4,27.65556001274586,27.66535882455687,11.041168515077372,1.0566921411517787,247.48981633266573,13.0120210667292,2017
1,4,24.800290517860653,23.63279687862558,13.044289853976302,0.6968679953376935,235.85577820953614,11.682448862876472,2018
2,4,38.90223913167715,39.70644594900787,20.657939207417538,1.076031430094668,359.1917818157158,18.310428560102736,2019
3,5,420.3619200576782,228.58828641166363,105.28969536441485,2.5752232290435155,3759.193310832954,197.84381991400463,2017
4,5,386.77370401153564,214.97554049103303,95.14797463046544,2.503044403182949,3763.470412207787,182.29386735098788,2018
5,5,564.8680800144195,299.39313763747657,134.57846866730978,3.4465003433940793,5260.418022952203,265.85703330886184,2019
6,6,973.689173286438,749.3150554761037,431.5111707115493,14.459671167048276,9180.973537467054,833.022013182774,2017
7,6,913.5198074295043,765.3263376981104,446.5398742721351,17.822736184365414,8873.486851450361,812.6896690090886,2018
8,6,1562.7653434753418,1297.0323945237812,751.5701319584723,30.48253665347631,13915.939988393162,1280.7610303620515,2019
9,7,23877.707710253908,10312.4045610572,6089.469862192058,136.45253041186743,108213.75762749756,46460.54846861703,2017
10,7,22413.87958425293,10409.111315967613,6564.420400715686,148.89725309626323,90081.57662323237,39499.80243218285,2018
11,7,24727.82246982422,12851.749860555628,7895.888748966741,214.56016476073393,127056.995763249,59103.27336271049,2019
12,8,594.7869619480133,471.1243675249694,283.5890031181512,5.915981068423552,4877.605496785812,622.7540641391051,2017
13,8,398.9696779066086,375.35863718332945,226.81951203582403,4.343187053955714,3325.9798686228964,315.45773173034087,2018
14,8,755.6082840311051,931.4725653010349,537.6389056840833,11.02673922162102,6177.773748407915,751.8036884950723,2019
15,9,123.33649917411805,303.69755009626584,209.79668730371228,6.552352722779454,965.77873139841,1067.0811086392828,2017
16,9,83.97722568826676,224.64095127913635,141.60557161785957,3.056883518695286,667.9080996929969,652.8326533808264,2018
17,9,155.6615859518051,356.92733242535263,246.65949937106637,10.112013217733898,1215.0532150945119,2587.57220330561,2019
18,10,46.21558510780334,143.62337375036546,96.21819209513997,0.8188421133772167,299.9196480461505,133.55479742460318,2017
19,10,43.23319569039345,110.73069937840098,65.67546225356587,0.993350432858062,194.54485416951783,72.32197266564634,2018
20,10,90.64630044722557,276.1671138814605,163.791973611158,2.316604974310613,654.4509048953795,323.51101734943734,2019
21,11,176.21184726905824,72.35692730912706,37.95083562710917,1.6685956554039445,830.709682256283,373.5930212821141,2017
22,11,151.84632485961913,65.41448469822271,34.374408389910265,1.7565034772224088,655.7312765028063,250.64783017033284,2018
23,11,229.1738697681427,92.28716689096213,48.76948329458616,2.8350902342578745,1020.9823619577639,509.7849555078134,2019
24,12,143.59643445911408,70.37333388139092,26.26851819408449,1.6169055802793426,1179.1254522616978,387.9869060976805,2017
25,12,122.32053131217957,91.32349805660905,33.55769449824335,1.8324505130554305,900.9381543135988,337.073416608497,2018
26,12,199.23522295475007,94.94410462187557,33.971487729344695,1.887254237731055,1599.0605243926514,287.0824888436871,2019
27,13,167.88942017440795,128.15672016216269,78.60989961908514,1.1220658273526338,1152.1958536649295,275.15854790718146,2017
28,13,143.01415781536102,119.13816087260662,70.34425268045636,0.9318797940879363,864.7424380836482,117.10757820201873,2018
29,13,225.34633366355897,178.06750308882326,114.66319054490916,2.766304689690778,1102.670542235493,165.42547665856608,2019
30,14,452.6812440135956,619.2929380132052,398.215205831102,10.724390327303558,3050.369523699543,1118.0415290673027,2017
31,14,305.8182820163727,308.4420700370925,186.83120385685052,5.2725852249053835,1620.770521054505,889.3013479858777,2018
32,14,573.2972400730133,881.418804755124,543.7003259596698,23.410532979572,3128.6393440157,2086.5566921304303,2019
33,15,91.96934644947052,75.49399188153187,73.78333442459378,2.291709506383778,489.50115448434445,95.11741594857122,2017
34,15,64.90283059537467,48.075575255592284,33.54388948359987,2.108190302569962,341.2375745501895,71.66375339041832,2018
35,15,120.97081093781031,88.07320039564523,74.98222816838593,2.391721050874628,636.3754374218173,144.62308238054567,2019
36,17,234.26087814102172,189.24466085677847,119.1485255891404,5.57551528447431,1295.1609414907477,1621.1387807610918,2017
37,17,201.50015772285462,269.8191481483164,194.68504457367908,5.574103865358974,1164.8710260898886,2076.1055044537993,2018
38,17,309.9316342517853,421.33507226814874,269.3275239167782,7.248915588110805,1851.3277004719253,3280.4249230626588,2019
39,18,12046.636526220704,4249.936498220512,2432.7823981707065,22.456444990150636,46330.35418569538,5864.258371485258,2017
40,18,11165.745345996094,3721.4443503002276,2393.8599566524526,24.134482637885192,35569.031267585335,6616.002001751331,2018
41,18,12273.74585288086,4816.267347089084,3301.7612303488254,45.247271463172936,44659.8402659557,6642.60860383228,2019
42,19,212.96139119796752,133.35578984922873,105.59379868832455,2.7514882345445315,1230.3925231631697,312.0319482876077,2017
43,19,186.07123207054138,127.5356927704836,80.83219791894604,2.5429648214188183,1242.5384854987014,359.1014857911573,2018
44,19,275.0723165863037,161.12400841834028,110.68478881360772,4.297964791252521,1554.359383161842,610.0289236135161,2019
45,20,629.066595126915,1922.5006211696439,1751.6879207154875,39.82513703141681,4344.215595365299,9027.658632679273,2017
46,20,433.2493094581604,1348.6205706309574,1151.5542801165345,11.529386635931548,2445.6890374888276,2012.0300061202522,2018
47,20,789.887914439392,1600.175033537812,1469.1498342044692,29.187642587203058,5276.958225271346,9117.217163139188,2019
48,21,4141.629563818359,1473.5829691722272,842.9284166102219,20.752358360907532,19100.87878771871,7582.649244127409,2017
49,21,3848.0538783691404,1597.9367446455512,923.1590810098672,20.251024019135,15335.560833082314,4883.334000101981,2018
50,21,4076.8800286376954,1702.5799213010957,1042.920219209421,20.22172912135965,19046.69358939714,4130.350182224132,2019
51,22,9394.55877216797,2177.736753768958,1176.9710274816277,27.171917684643965,27279.38774066953,2983.8103423427888,2017
52,22,9252.765257739258,2056.605106751433,1040.6372879556368,16.431295847526815,21574.23147568435,1633.9300770045336,2018
53,22,8389.865303393555,1964.2704538763242,1035.3392477647303,14.889487970895983,22108.85601747844,1740.778958336175,2019
54,23,1759.3354582992554,610.3042861028206,193.67816103687807,5.5494819292942825,9846.749678238892,849.0026602453577,2017
55,23,1303.1014038711548,465.154156857609,176.45351656961878,4.721540009060815,7324.386550769372,606.2827703594717,2018
56,23,1967.4771122440338,694.0663001253456,266.0768546557122,7.28621380005406,11119.381336090539,920.2596055466339,2019
