real_river,Q,TotN,DIN,TDP,TOC,SS
4,30.452696554094555,30.334867370926492,14.914465886063107,0.9431971905108535,280.84579165301164,50.65359068281321
5,457.3345680278778,247.65232183504062,111.6720465111312,2.841589325651469,4261.027245088501,760.8889523838097
6,1149.9914413970946,1254.5548413946444,789.338200093217,26.6135549016475,10719.252823684177,3446.96432574077
7,23673.136588110352,14970.758473994209,9905.386089758036,259.28547766236824,111023.12596854202,170864.10396173192
8,583.1216412952423,736.1822788104263,455.4484906936714,11.139737036092521,4816.955252328832,1990.5953879440733
9,120.99177027139665,389.7528517518933,270.164192869299,11.165802066206908,999.4409011316155,5073.59948801616
10,60.03169374847412,229.69797255905382,142.6002936706449,2.7601576116876667,386.8276742464698,623.5427413895017
11,185.74401396560668,79.36206064205224,42.56316302945579,2.1935683657385945,835.8393495252018,1335.7194428271616
12,155.0507295753479,89.71310107098594,34.32863417322823,1.999184753474043,1227.812676786309,1192.1587886335274
13,178.7499705511093,156.74208517387572,100.21806438043556,1.8653739792838164,1050.231780321149,656.8805686310557
14,443.9322553676605,741.6501611006184,483.6542957084692,16.751723593960698,2870.9452437920663,4822.025405398835
15,92.61432932755183,78.74295139256574,68.20874396468699,3.012583241100325,492.3616012901086,366.78946021146675
17,248.5642233718872,350.9302128321163,242.15909291758308,8.186400680690662,1565.702900251649,8218.691646970025
18,11828.709241699218,5161.617698186351,3458.68017065055,42.680408648657284,43399.37576637108,22523.991727996316
19,224.70164661827087,186.3522736896989,136.75568772947028,4.653633007164678,1564.237058101343,1509.0251562924395
20,617.4012730081558,2101.48895726991,1899.0514476421251,40.88619878220651,4643.908503083554,23741.938518184586
21,4022.187823608398,1870.7918649007152,1165.6160676589352,25.865662499429934,18352.33693105402,19548.09590866139
22,9012.396444433594,2317.433758221874,1287.565766668482,23.909979245281164,24276.104531432055,7489.422117412836
23,1676.6379914714814,599.2258462139737,219.0952476456166,6.6041294381779325,9450.478212713822,2798.0506904021945
