,real_river,date,Q,TotN,DIN,TDP,TOC,SS
0,4,2017-01-01 12:00:00,32227.19964981079,38.20662980579747,19.901582902784995,1.1972271341797192,266.77298207617474,53.58108174504441
1,4,2017-01-02 12:00:00,26438.399505615234,31.328697657979806,16.317390319614667,0.9817736010922798,218.9665167866863,43.96859923274096
2,4,2017-01-03 12:00:00,25315.201091766357,29.982475720619156,15.615054641178443,0.9396299515937213,209.7608909807137,42.11218585051591
3,4,2017-01-04 12:00:00,24019.199752807617,28.432103508725646,14.806846730277655,0.891055845290895,199.10079970721418,39.96725342855329
4,4,2017-01-05 12:00:00,18230.39960861206,21.567153086375,11.23146648183933,0.675893210526634,151.16485347027097,30.343220079534547
5,4,2017-01-06 12:00:00,18057.60054588318,21.349166027487772,11.118078019443828,0.6690108767899642,149.7701797869434,30.063923797019196
6,4,2017-01-07 12:00:00,24451.199340820312,28.88805580609463,15.044954825452548,0.9051270192531693,202.83855360667704,40.71985923357824
7,4,2017-01-08 12:00:00,27907.201194763184,32.945721595233245,17.1600277009249,1.0320343305773092,231.5423146346653,46.48825752766997
8,4,2017-01-09 12:00:00,29807.999897003174,35.159356600284255,18.31611303712734,1.101022956104937,247.33982600473135,49.66849987224738
9,4,2017-01-10 12:00:00,86400.0,101.81220898447265,53.05158380028076,3.186858326873016,716.98365,144.00699005126953
10,4,2017-01-11 12:00:00,447551.98516845703,526.8065978622793,274.5963230407304,16.48000929855729,3714.1871592270745,746.1656450876839
11,4,2017-01-12 12:00:00,575423.9868164062,676.4733162290064,352.7646026307414,21.145758370477985,4775.579093523753,959.6260384005741
12,4,2017-01-13 12:00:00,236736.0008239746,277.90958387465486,145.00489301472211,8.678625866833704,1964.7851215260584,394.9126149914617
13,4,2017-01-14 12:00:00,111455.99670410156,130.6254002466244,68.2047164451786,4.074196285819916,925.0458065826953,185.97867406579897
14,4,2017-01-15 12:00:00,65577.60028839111,76.71123623400089,40.089054487934206,2.388987301804967,544.2790968873303,109.4557320174566
15,4,2017-01-16 12:00:00,56678.40156555176,66.15752705809933,34.61059832003102,2.056498714956211,470.4211574438151,94.62899633329275
16,4,2017-01-17 12:00:00,53136.00082397461,61.868853687749414,32.40846768373197,1.918877829552617,441.0215421513766,88.74000753872578
17,4,2017-01-18 12:00:00,52272.00164794922,60.69052200591241,31.839678530656148,1.8772911907743288,433.8528152715772,87.32206329982726
18,4,2017-01-19 12:00:00,47520.00102996826,54.99570728052767,28.90367548451166,1.6957473943938755,394.4146627674574,79.40646572560536
19,4,2017-01-20 12:00:00,43200.0,49.81441614741211,26.234966775091554,1.5302865014648435,358.56257343749996,72.2084535598755
20,4,2017-01-21 12:00:00,39571.200370788574,45.44401570137161,23.990333322390907,1.390026584099201,328.44807352761177,66.16200650678957
21,4,2017-01-22 12:00:00,37670.39909362793,43.06500466420817,22.79587236841862,1.3107669197832852,312.67737203929755,63.002112912842854
22,4,2017-01-23 12:00:00,38534.400844573975,43.83271681377479,23.272490269131765,1.3266849964687475,319.8576165541981,64.4657733130993
23,4,2017-01-24 12:00:00,35164.800453186035,39.78201880229699,21.192533704211794,1.1965570714359028,291.8988190055933,58.84570087472168
24,4,2017-01-25 12:00:00,33523.20098876953,37.702363759782614,20.158055907881067,1.1261706408983454,278.28571623305976,56.11491800795829
25,4,2017-01-26 12:00:00,34732.80086517334,38.81883886915113,20.83665306906602,1.150779785844876,288.3453021387594,58.15662149716968
26,4,2017-01-27 12:00:00,34300.801277160645,38.08458670631435,20.52792720024026,1.1198547038477529,284.781699169225,57.45004593564204
27,4,2017-01-28 12:00:00,31881.598949432373,35.15796807311389,19.0333270910186,1.0249020529466404,264.72194504558945,53.413766373827286
28,4,2017-01-29 12:00:00,30326.4009475708,33.21075497491303,18.060310258360115,0.9594253093757888,251.83686005945373,50.823107403511514
29,4,2017-01-30 12:00:00,30671.999073028564,33.35638729912283,18.223813659112082,0.9546055011068536,254.73796133254038,51.417374865127655
30,4,2017-01-31 12:00:00,31104.001235961914,33.59276187582121,18.44008771441461,0.9520709877028416,258.35846076624244,52.15689899940875
31,4,2017-02-01 12:00:00,30671.999073028564,32.89905441653398,18.14477864677443,0.9233036349064415,254.80137209624897,51.44764243852321
32,4,2017-02-02 12:00:00,29462.399196624756,31.38948127015847,17.392758236517615,0.8723797449912839,244.78028760037645,49.43330409410894
33,4,2017-02-03 12:00:00,28857.59925842285,30.545960276466673,17.001694800694043,0.840853751497086,239.77869403821228,48.42989657192492
34,4,2017-02-04 12:00:00,28425.599670410156,29.90319478981837,16.715706559944604,0.8155903637136829,236.2081000955835,47.69573603068602
35,4,2017-02-05 12:00:00,28079.99897003174,29.36860365031971,16.483689312028886,0.7939946476289207,233.35101620636044,47.106816204261115
36,4,2017-02-06 12:00:00,27475.199031829834,28.581743502328564,16.102914929732343,0.7663617427471741,228.33610278514985,46.083380991014
37,4,2017-02-07 12:00:00,23500.801277160645,24.32692025673962,13.753678333525633,0.647295309909193,195.3134611143898,39.40970179993946
38,4,2017-02-08 12:00:00,19612.799835205078,20.21156886852529,11.463425299658452,0.534025711078234,163.00489070536491,32.883437039068305
39,4,2017-02-09 12:00:00,18835.199546813965,19.332338646492786,10.99632681516985,0.5075475289238487,156.54515585843103,31.573672698418136
40,4,2017-02-10 12:00:00,18057.60054588318,18.467970077972872,10.531749652485894,0.48208434887415674,150.08433618706536,30.264417950190143
41,4,2017-02-11 12:00:00,17625.599670410156,17.969202339915718,10.270780588951338,0.46667709175323163,146.49522329811302,29.534781538473723
